bname,cname,no_votes
Finglas Nth B 2,Fitzgerald,3
Finglas Nth B 3,Fitzgerald,1
Finglas Nth A 1,Fitzgerald,0
Finglas Nth A 2,Fitzgerald,0
Finglas Nth A 3,Fitzgerald,3
Finglas Nth C 1,Fitzgerald,0
Finglas Nth C 2,Fitzgerald,1
Finglas Nth C 3,Fitzgerald,3
Ballymun F/Fing Nth C/Bmun F 1,Fitzgerald,2
Ballymun F 1,Fitzgerald,1
Ballymun F 2,Fitzgerald,3
Finglas Sth A 1,Fitzgerald,2
Finglas Sth A 2,Fitzgerald,1
Finglas Sth A 3,Fitzgerald,1
Cappagh/Ballycoolen 1,Fitzgerald,3
Finglas Sth B 1,Fitzgerald,2
Finglas Sth B 2,Fitzgerald,1
Finglas Sth B 3,Fitzgerald,1
Finglas Sth C 1,Fitzgerald,0
Finglas Sth C 2,Fitzgerald,0
Finglas Sth C 3,Fitzgerald,0
Finglas Sth D 1,Fitzgerald,0
Finglas Sth D 2,Fitzgerald,1
Whitehall A1 1,Fitzgerald,2
Whitehall A1/D1 1,Fitzgerald,1
Whitehall D1 1,Fitzgerald,2
Whitehall A2 1,Fitzgerald,1
Whitehall A2 2,Fitzgerald,0
Whitehall B1 1,Fitzgerald,0
Whitehall B2 2,Fitzgerald,10
Whitehall B2 3,Fitzgerald,2
Whitehall B2 4,Fitzgerald,1
Whitehall B2/C 1,Fitzgerald,4
Whitehll C pt 1,Fitzgerald,1
Airport 3 1,Fitzgerald,0
Turnapin 1,Fitzgerald,2
NorthWood/Santry 1,Fitzgerald,0
Whitehall C pt 1,Fitzgerald,2
Beaumont A 1,Fitzgerald,3
Beaumont A 2,Fitzgerald,3
Beaumont A/WH D2 1,Fitzgerald,0
Whitehall D2 1,Fitzgerald,5
Postal 1,Fitzgerald,0
Ballygall A 1,McAuliffe,48
Ballygall A 2,McAuliffe,43
Ballygall A 3,McAuliffe,50
Ballygall B 1,McAuliffe,52
Ballygall B 2,McAuliffe,69
Finglas Nth 1,McAuliffe,38
Charlestwn 1,McAuliffe,44
Lanesbro 1,McAuliffe,25
Lanesbro 2,McAuliffe,17
Ballygall C 1,McAuliffe,90
Ballygall C 2,McAuliffe,110
Ballygall C 3,McAuliffe,116
Ballygall C/D 1,McAuliffe,92
Ballygall D 1,McAuliffe,81
Ballygall D 2,McAuliffe,69
Ballymun A 1,McAuliffe,17
Ballymun A 2,McAuliffe,34
Ballymun A 3,McAuliffe,29
Ballymun A/B 1,McAuliffe,26
Ballymun B 1,McAuliffe,22
Ballymun B 2,McAuliffe,25
Ballymun B/D 1,McAuliffe,12
Ballymun D 1,McAuliffe,17
Ballymun D 2,McAuliffe,17
Ballymun C1 1,McAuliffe,18
Ballymun C1 2,McAuliffe,15
Ballymun C1 3,McAuliffe,13
Ballymun C1 4,McAuliffe,11
Ballymun E 1,McAuliffe,84
Ballymun E 2,McAuliffe,123
Ballymun C2 1,McAuliffe,38
Finglas Nth B 1,McAuliffe,48
Finglas Nth B 2,McAuliffe,51
Finglas Nth B 3,McAuliffe,45
Finglas Nth A 1,McAuliffe,49
Finglas Nth A 2,McAuliffe,37
Finglas Nth A 3,McAuliffe,49
Finglas Nth C 1,McAuliffe,104
Finglas Nth C 2,McAuliffe,109
Finglas Nth C 3,McAuliffe,135
Ballymun F/Fing Nth C/Bmun F 1,McAuliffe,152
Ballymun F 1,McAuliffe,162
Ballymun F 2,McAuliffe,103
Finglas Sth A 1,McAuliffe,23
Finglas Sth A 2,McAuliffe,39
Finglas Sth A 3,McAuliffe,51
Cappagh/Ballycoolen 1,McAuliffe,27
Finglas Sth B 1,McAuliffe,50
Finglas Sth B 2,McAuliffe,71
Finglas Sth B 3,McAuliffe,42
Finglas Sth C 1,McAuliffe,23
Finglas Sth C 2,McAuliffe,16
Finglas Sth C 3,McAuliffe,29
Finglas Sth D 1,McAuliffe,29
Finglas Sth D 2,McAuliffe,29
Whitehall A1 1,McAuliffe,51
Whitehall A1/D1 1,McAuliffe,75
Whitehall D1 1,McAuliffe,57
Whitehall A2 1,McAuliffe,52
Whitehall A2 2,McAuliffe,51
Whitehall B1 1,McAuliffe,64
Whitehall B2 2,McAuliffe,44
Whitehall B2 3,McAuliffe,17
Whitehall B2 4,McAuliffe,29
Whitehall B2/C 1,McAuliffe,32
Whitehll C pt 1,McAuliffe,43
Airport 3 1,McAuliffe,32
Turnapin 1,McAuliffe,36
NorthWood/Santry 1,McAuliffe,40
Whitehall C pt 1,McAuliffe,39
Beaumont A 1,McAuliffe,58
